,perf,st_dev,max_dd,sharpe,calmar,weeks
VA_gross,0.11227708882067344,0.12951866718494423,-0.16944415854638406,0.8668795877921525,0.6626200028603432,712.0
VA_net10,0.0937230298783287,0.12987419304328515,-0.18050340108627394,0.7216447523727227,0.5192313791003449,712.0
VA_net25,0.06645243994796468,0.13045766564532132,-0.20703687441046958,0.5093793424805766,0.3209691033888805,712.0
B1_deposits,-0.011467548087234825,0.14637307039506514,-0.7022304181343437,-0.07834465763602268,-0.016330178515623583,712.0
B2_SHY_TL,0.014045773916032234,0.01336590253734268,-0.05572394894380084,1.0508661032646376,0.25205991646783305,712.0
B3_GLD_TL,0.0721141570302255,0.16198975966525647,-0.3830647736083267,0.44517725798992297,0.18825577813103814,712.0
B4_BIST,-0.003020141315972391,0.3044211165475497,-0.6898330430775423,-0.009920932392022987,-0.0043780757478631025,712.0
B5_EW,0.07124681965885937,0.11464271515086921,-0.23928177853451582,0.6214683555348365,0.29775280046483854,712.0
B6_50_50,0.0009653877614188566,0.20210113198374158,-0.6189189599061304,0.004776755834779388,0.001559796716463936,712.0
VB_net10,0.08967326905920436,0.12386804896980266,-0.18632298710659234,0.7239418865882474,0.48127861436605107,710.0
