,perf,st_dev,max_dd,sharpe,calmar,weeks
VB_gross,0.4095696237996751,0.18861125593792027,-0.24366540143878979,2.171501492649417,1.6808690170260445,712.0
VB_net10,0.38478305578656746,0.18878888606890962,-0.24672629816965197,2.0381658253236274,1.5595542860290719,712.0
VB_net25,0.3483917014622737,0.18909819309102296,-0.2512980340666142,1.8423851426997737,1.386368591208007,712.0
B2_SHY,0.2898838937901267,0.15720235499158194,-0.2097909190790248,1.8440175009187982,1.381775222029187,712.0
B3_GLD,0.3637478889312715,0.20762162059867362,-0.22975551270243688,1.7519750008809791,1.583195478762558,712.0
B5_EW,0.3767443230095775,0.180637946485625,-0.2659591558136819,2.0856322292146876,1.416549551967695,712.0
