Date,headline,variant
2013,0.0,0.0
2014,0.003144654088050314,0.003144654088050314
2015,0.041666666666666664,0.05448717948717948
2016,0.057692307692307696,0.08974358974358973
2017,0.01282051282051282,0.016025641025641024
2018,0.08653846153846154,0.10576923076923077
2019,0.16025641025641024,0.2403846153846154
2020,0.0,0.0
2021,0.03205128205128205,0.044871794871794865
2022,0.022435897435897433,0.022435897435897433
2023,0.05448717948717948,0.09294871794871794
2024,0.21794871794871792,0.5
2025,0.2012578616352201,0.39622641509433965
2026,0.1715686274509804,0.29411764705882354
