,perf,st_dev,max_dd,sharpe,calmar,weeks
VA_headline,0.11742743772517628,0.19154751237583384,-0.27052085629156664,0.6130460075867383,0.434079055252632,708.0
VA_hurdle,0.12080131299561203,0.18859533551560445,-0.26035432844641115,0.6405318173185512,0.4639881108044517,708.0
VA_headline_25bps,0.08956940011398595,0.19197717546802678,-0.2944117440942531,0.46656275620068943,0.30423174995801516,708.0
VA_hurdle_25bps,0.09402357462979971,0.1889984131067253,-0.28455299210981344,0.4974834078458936,0.3304255349158815,708.0
VB_headline,0.11245768982094195,0.1969166299341774,-0.33819627500718097,0.5710929029129371,0.3325219647039404,707.0
VB_hurdle,0.10991082309563827,0.19717847550769874,-0.3469609696776522,0.5574179575769509,0.3167815192520129,707.0
