,perf,st_dev,max_dd,sharpe,calmar,weeks
VB_gross,0.13070518189357982,0.201919865362489,-0.34905542937774336,0.6473121486037855,0.3744539431075067,656.0
VB_net10,0.11060073104086876,0.20201362843125917,-0.36305821452373366,0.5474914336212905,0.304636354767394,656.0
VB_net25,0.0810907771475875,0.2021949792853067,-0.3839352224314133,0.40105237743398453,0.21120952809187404,656.0
B2_SHY,0.04808769834382143,0.17462134409465122,-0.3884465929483877,0.2753827064677507,0.12379487738282408,656.0
B3_GLD,0.08650934678756061,0.21007098966078477,-0.29103694695411764,0.4118100596719845,0.29724523876756764,656.0
B5_EW,0.1115898814410865,0.19581256503712033,-0.35668172006145704,0.5698811075782206,0.31285562215484247,656.0
