,perf,st_dev,max_dd,sharpe,calmar,weeks
VA_gross,0.4145765172930129,0.18013613818975727,-0.20448727600460448,2.3014622243999354,2.0273951777991206,712.0
VA_net10,0.39097975678782304,0.18044742531172125,-0.20721426230136442,2.1667239425135003,1.8868380604960346,712.0
VA_net25,0.356297449190242,0.18095095202864575,-0.2112904285701569,1.969027767998909,1.6862924250822697,712.0
B1_deposits,0.2572000332583775,0.023569537638537315,0.0,10.912391969787443,inf,712.0
B2_SHY_TL,0.2896474751293807,0.1528824124425278,-0.21327001598266537,1.8945768221590973,1.3581256314667474,712.0
B3_GLD_TL,0.36349793197696845,0.2044925108520992,-0.239225871813171,1.777561097285715,1.5194758377172959,712.0
B4_BIST,0.2679433124023538,0.25580247058405814,-0.3175540294580993,1.0474617848317698,0.8437723585482276,712.0
B5_EW,0.3623948659420413,0.1530766274944266,-0.2212144365282952,2.367408218182987,1.6382062203055536,712.0
B6_50_50,0.2730120456330667,0.1288270074389084,-0.15437476998199795,2.119214371742143,1.7685017160829024,712.0
VB_net10,0.38761268212258004,0.18567181317135703,-0.2518764376610543,2.0876226471965955,1.5389001278642176,710.0
