regime,strategy,numeraire,ann_return,total_return
2013-2017 pre-crisis,VB_net10,USD,0.06574985953472523,0.37660154545564706
2013-2017 pre-crisis,VB_net10,TL_nominal,0.23984469524071628,1.9419274994067828
2013-2017 pre-crisis,VB_net10,TL_real,0.14202075269944103,0.9475073034465227
2013-2017 pre-crisis,B2_SHY,USD,0.004310568721384023,0.021823975436074505
2013-2017 pre-crisis,B2_SHY,TL_nominal,0.16836903131003678,1.1837343295249143
2013-2017 pre-crisis,B2_SHY,TL_real,0.07618452995707647,0.44559597624150094
2013-2017 pre-crisis,B3_GLD,USD,-0.055931204944781876,-0.2509039362102744
2013-2017 pre-crisis,B3_GLD,TL_nominal,0.09828650411693429,0.600889027791212
2013-2017 pre-crisis,B3_GLD,TL_real,0.011631525243363638,0.059762035012575154
2013-2017 pre-crisis,B5_EW,USD,0.06300622042197723,0.3589057411808354
2013-2017 pre-crisis,B5_EW,TL_nominal,0.2366528708466875,1.9041098946016408
2013-2017 pre-crisis,B5_EW,TL_real,0.13908076375490208,0.9224726751044854
2018 crisis,VB_net10,USD,-0.06062529766182978,-0.06062529766182978
2018 crisis,VB_net10,TL_nominal,0.31823285634432774,0.31823285634432774
2018 crisis,VB_net10,TL_real,0.10695013007993914,0.10695013007993914
2018 crisis,B2_SHY,USD,0.012081256049444766,0.012081256049444766
2018 crisis,B2_SHY,TL_nominal,0.42026260840727203,0.42026260840727203
2018 crisis,B2_SHY,TL_real,0.1926268349007445,0.1926268349007445
2018 crisis,B3_GLD,USD,-0.041339497238669476,-0.041339497238669476
2018 crisis,B3_GLD,TL_nominal,0.34529679123147017,0.34529679123147017
2018 crisis,B3_GLD,TL_real,0.12967633213112828,0.12967633213112828
2018 crisis,B5_EW,USD,-0.09761237423092473,-0.09761237423092473
2018 crisis,B5_EW,TL_nominal,0.2663285635502559,0.2663285635502559
2018 crisis,B5_EW,TL_real,0.0633649141724566,0.0633649141724566
2019-2020 COVID,VB_net10,USD,0.08440110135880552,0.1777595373761529
2019-2020 COVID,VB_net10,TL_nominal,0.27970802036883513,0.6454383248931341
2019-2020 COVID,VB_net10,TL_real,0.1376742281585659,0.29751715296885917
2019-2020 COVID,B2_SHY,USD,0.03176076316430265,0.06517055099755287
2019-2020 COVID,B2_SHY,TL_nominal,0.21758685238217157,0.4881411625530663
2019-2020 COVID,B2_SHY,TL_real,0.08244784001639682,0.17347982919811233
2019-2020 COVID,B3_GLD,USD,0.20800983185330213,0.46460062858714446
2019-2020 COVID,B3_GLD,TL_nominal,0.42557939914483045,1.0461816936831854
2019-2020 COVID,B3_GLD,TL_real,0.26735545670285177,0.613524983269875
2019-2020 COVID,B5_EW,USD,0.16284442723104497,0.3561360562364331
2019-2020 COVID,B5_EW,TL_nominal,0.37227944356023945,0.8946467168265269
2019-2020 COVID,B5_EW,TL_real,0.21997122149808335,0.49403145454158115
2021-2023H1 infl. surge,VB_net10,USD,0.04987944734258454,0.12940208436807676
2021-2023H1 infl. surge,VB_net10,TL_nominal,0.736801339868552,2.975349932637646
2021-2023H1 infl. surge,VB_net10,TL_real,0.1791272148808516,0.5097382493381153
2021-2023H1 infl. surge,B2_SHY,USD,-0.013709258753598075,-0.033921558868380663
2021-2023H1 infl. surge,B2_SHY,TL_nominal,0.6316074052431038,2.4004717354706337
2021-2023H1 infl. surge,B2_SHY,TL_real,0.10771027829174762,0.2914139212461442
2021-2023H1 infl. surge,B3_GLD,USD,-0.005851099394452053,-0.014563619822549168
2021-2023H1 infl. surge,B3_GLD,TL_nominal,0.6446070517629121,2.4686091886832395
2021-2023H1 infl. surge,B3_GLD,TL_real,0.11653583400930434,0.31729081788937963
2021-2023H1 infl. surge,B5_EW,USD,0.023115839558910833,0.058795339069427355
2021-2023H1 infl. surge,B5_EW,TL_nominal,0.6925266662609704,2.726823279418478
2021-2023H1 infl. surge,B5_EW,TL_real,0.14906881304623654,0.4153540565744822
2023H2-present orthodox,VB_net10,USD,0.18908722054150595,0.7324427533312541
2023H2-present orthodox,VB_net10,TL_nominal,0.4432091978279542,2.203052721124657
2023H2-present orthodox,VB_net10,TL_real,-0.023095344266182427,-0.0477990580555776
2023H2-present orthodox,B2_SHY,USD,0.041770804593326494,0.13865590153314034
2023H2-present orthodox,B2_SHY,TL_nominal,0.26440952458729794,1.10522101051671
2023H2-present orthodox,B2_SHY,TL_real,-0.1028438558716015,-0.2034663054894148
2023H2-present orthodox,B3_GLD,USD,0.31435108595541794,1.3805667682718026
2023H2-present orthodox,B3_GLD,TL_nominal,0.5952434301347427,3.401346509297304
2023H2-present orthodox,B3_GLD,TL_real,0.10102904070570307,0.2235357434090648
2023H2-present orthodox,B5_EW,USD,0.15964882032640104,0.5999739165125408
2023H2-present orthodox,B5_EW,TL_nominal,0.4074794639397772,1.958135728964011
2023H2-present orthodox,B5_EW,TL_real,-0.01776707532091637,-0.03688007320991682
