window,VA_headline,VB_headline,VA_hurdle,VB_hurdle,gap_headline,gap_variant
full period,0.1172524627420739,0.11229024972519519,0.12062104464674728,0.10974735895159604,0.004962213016878714,0.010873685695151236
2013-2017 pre-crisis,0.14798641753223207,0.14665820842968325,0.14421842040711397,0.1476955468922938,0.0013282091025488274,-0.003477126485179838
2018 crisis,0.16150330767377552,0.11108626790506593,0.1601643321201085,0.11032452641075396,0.05041703976870959,0.049839805709354534
2019-2020 COVID,0.1344828327893448,0.13983294496000176,0.14139464101724863,0.13617303945616,-0.005350112170656951,0.00522160156108864
2021-2023H1 infl. surge,0.23544469818546965,0.17591378970603766,0.2328931149027358,0.1696595088822037,0.05953090847943199,0.06323360602053207
2023H2-present orthodox,-0.014735674036827962,0.018529155378479878,0.0017705179897622436,0.014250821186778895,-0.03326482941530784,-0.012480303197016651
