window,VA_net10,VB_net10,B1_deposits,B2_SHY_TL,B4_BIST,B6_50_50,B5_EW,A_minus_B_gap
full period,0.1172524627420739,0.11243165376198672,0.009619316139784395,0.037380956634380125,0.016201675794025094,0.021317837224274383,0.09248479770846685,0.004820808980087188
2013-2017 pre-crisis,0.14798641753223207,0.14719095232661017,0.020300860673458265,0.07608380654867175,0.01047220583565589,0.02112972364226362,0.12066151064946928,0.0007954652056219036
2018 crisis,0.16150330767377552,0.11108626790506548,-0.0008821965159718781,0.19708310517801508,-0.31827587234947774,-0.1694064059757625,0.03081628190120722,0.05041703976871004
2019-2020 COVID,0.1344828327893448,0.13983294496000243,0.028774912669705888,0.08450176571945489,0.17179761298530294,0.10730592527627425,0.20545864426617788,-0.005350112170657617
2021-2023H1 infl. surge,0.23544469818546965,0.17591378970603744,-0.16784815883083704,0.10469148265227712,0.20202242136302262,0.015340807206127183,0.12766536504945414,0.05953090847943221
2023H2-present orthodox,-0.014735674036827962,0.0185291553784801,0.19145509184445353,-0.0985453638995809,-0.05907484401883001,0.066563241591167,0.004540112234972193,-0.03326482941530806
